gene_name	Chromosome	seqnames	Cell Type	LSK- WT rep1 (FPKM)	LSK- XistΔ/Δ rep1 (FPK	LSK- WT rep2 (FPKM)	LSK- XistΔ/Δ rep2 (FPK	FoldChange_1	FoldChange_2	FoldChange
Vrk1	chr12	autosomes	LSK+ and LSK-	48.18951048	49.21099138	46.74545794	49.29009074	1.021197163	1.054435937	1.03781655
Evl	chr12	autosomes	LSK+ and LSK-	5.477857434	6.475349266	2.015638379	2.892044142	1.182095252	1.434803074	1.308449163
Rcor1	chr12	autosomes	LSK+ and LSK-	57.68387457	60.72802717	51.93978044	66.48959774	1.052773026	1.280128587	1.166450806
Pacs2	chr12	autosomes	LSK+ and LSK-	7.367507821	7.414289228	5.026570033	7.745063324	1.006349692	1.540824712	1.273587202
Mta1	chr12	autosomes	LSK+ and LSK-	44.90905323	46.61654339	49.2117299	55.34378769	1.038021068	1.124605613	1.081313341
Ncapg2	chr12	autosomes	LSK+ and LSK-	13.43730541	13.99977018	12.24382079	14.15762437	1.04185845	1.156307709	1.099083079
Pfkp	chr13	autosomes	LSK+ and LSK-	36.66147521	48.30862201	29.59553589	29.97257039	1.317694439	1.012739573	1.165217006
Larp4b	chr13	autosomes	LSK+ and LSK-	31.60741397	34.67279714	25.21625613	31.43719693	1.096983043	1.246703585	1.171843314
Heatr1	chr13	autosomes	LSK+ and LSK-	18.93191108	21.98815449	16.45914695	19.47312191	1.161433433	1.18311854	1.172275987
Prss16	chr13	autosomes	LSK+ and LSK-	7.520577347	7.606336369	2.899209429	3.177868446	1.01140325	1.096115518	1.053759384
Cdkal1	chr13	autosomes	LSK+ and LSK-	6.169139359	6.540645537	6.205697802	6.226662975	1.060220098	1.003378375	1.031799236
Wrnip1	chr13	autosomes	LSK+ and LSK-	44.81798745	45.40188165	32.88172827	42.6104175	1.013028122	1.295869158	1.15444864
Jarid2	chr13	autosomes	LSK+ and LSK-	19.84654815	21.08728578	11.0550916	14.05602682	1.062516545	1.271452768	1.166984657
Kif13a	chr13	autosomes	LSK+ and LSK-	6.55886307	7.027946003	3.336201094	5.008897088	1.07151894	1.501377449	1.286448194
Phf2	chr13	autosomes	LSK+ and LSK-	9.27912484	9.317927466	4.17901799	8.424028979	1.004181712	2.015791509	1.50998661
Fam120a	chr13	autosomes	LSK+ and LSK-	55.85750701	64.41438931	47.87320421	59.56573808	1.153191268	1.244239634	1.198715451
Bicd2	chr13	autosomes	LSK+ and LSK-	11.47609386	13.10911404	6.716021153	10.29809032	1.142297562	1.533361806	1.337829684
Ippk	chr13	autosomes	LSK+ and LSK-	12.80673658	14.6462231	12.3478619	13.60164763	1.143634291	1.10153869	1.122586491
Sema4d	chr13	autosomes	LSK+ and LSK-	13.96575336	14.16816953	18.9386975	20.11505943	1.014493753	1.062114194	1.038303973
Syk	chr13	autosomes	LSK+ and LSK-	34.8801179	36.80490777	20.96237771	25.55804928	1.055183009	1.21923427	1.137208639
Grk6	chr13	autosomes	LSK+ and LSK-	74.11097144	86.75703812	70.07895271	84.41563457	1.170636903	1.204578997	1.18760795
B4galt7	chr13	autosomes	LSK+ and LSK-	29.4235301	35.54977876	23.72741841	28.45431953	1.208209166	1.199216832	1.203712999
B230219D22Rik	chr13	autosomes	LSK+ and LSK-	17.53873264	18.38819595	16.33731141	18.88476542	1.048433563	1.155928595	1.102181079
2010111I01Rik	chr13	autosomes	LSK+ and LSK-	8.517363585	9.417305553	9.410125093	9.770124577	1.105659687	1.03825661	1.071958148
Zfp759	chr13	autosomes	LSK+ and LSK-	1.323505764	1.572632258	1.292828308	1.368433275	1.18823227	1.058480284	1.123356277
Papd7	chr13	autosomes	LSK+ and LSK-	7.982613021	9.080326817	5.364514825	7.304553332	1.137513092	1.361642864	1.249577978
Cep72	chr13	autosomes	LSK+ and LSK-	7.147718384	7.454115626	3.790786789	5.771323215	1.04286644	1.522460517	1.282663479
Rasa1	chr13	autosomes	LSK+ and LSK-	14.79591459	14.97354439	16.73651899	17.30777091	1.012005328	1.034132063	1.023068696
Papd4	chr13	autosomes	LSK+ and LSK-	11.99719128	15.69313813	14.66655737	15.16669006	1.308067677	1.03410021	1.171083944
Poc5	chr13	autosomes	LSK+ and LSK-	11.23740624	12.80116603	9.248143356	11.23058016	1.139156649	1.214360518	1.176758583
Tnpo1	chr13	autosomes	LSK+ and LSK-	8.059325581	8.972399444	7.345710969	9.086361489	1.113294078	1.236961477	1.175127778
Ak6	chr13	autosomes	LSK+ and LSK-	32.89203713	35.50684911	35.16689263	35.63265956	1.079496809	1.013244472	1.04637064
Cenph	chr13	autosomes	LSK+ and LSK-	37.32247302	39.43438954	37.22513701	43.60150062	1.056585653	1.171291877	1.113938765
Nln	chr13	autosomes	LSK+ and LSK-	11.77025856	13.55813895	14.29784745	16.45675407	1.15189814	1.15099522	1.15144668
Ppwd1	chr13	autosomes	LSK+ and LSK-	11.35776627	13.25438007	12.92343561	15.17906772	1.166988275	1.174538117	1.170763196
Kif2a	chr13	autosomes	LSK+ and LSK-	7.015980042	8.325574907	7.525985991	10.40021386	1.186658864	1.381907151	1.284283007
Dhx29	chr13	autosomes	LSK+ and LSK-	13.20690439	14.68712938	9.404649879	12.68392402	1.112079632	1.348686467	1.230383049
Parp8	chr13	autosomes	LSK+ and LSK-	37.03762042	37.88347921	20.77977506	21.79902105	1.022837828	1.049049904	1.035943866
Flnb	chr14	autosomes	LSK+ and LSK-	5.405554553	6.126854717	2.356518931	4.291658193	1.133436849	1.821185536	1.477311192
Top2b	chr14	autosomes	LSK+ and LSK-	46.29586407	46.94149974	37.07415083	46.82732999	1.01394586	1.26307222	1.13850904
Dnajc9	chr14	autosomes	LSK+ and LSK-	106.4980553	116.7361412	107.9321608	115.4375854	1.096134017	1.069538352	1.082836185
Sec24c	chr14	autosomes	LSK+ and LSK-	49.58325312	52.60792075	41.12054382	46.52258469	1.061001799	1.131370852	1.096186325
Vcl	chr14	autosomes	LSK+ and LSK-	11.55256283	14.21514657	12.25896579	14.37672963	1.230475591	1.172752243	1.201613917
Anxa11	chr14	autosomes	LSK+ and LSK-	11.96656374	12.81853835	12.23934602	12.60447574	1.071196262	1.029832454	1.050514358
Slmap	chr14	autosomes	LSK+ and LSK-	16.58996532	18.526295	12.23562552	17.08639091	1.116716921	1.396446049	1.256581485
Chdh	chr14	autosomes	LSK+ and LSK-	24.13734292	25.31340559	9.035779784	12.95176605	1.048723784	1.433386643	1.241055213
Tkt	chr14	autosomes	LSK+ and LSK-	257.9551841	316.8288837	265.3524489	278.8828179	1.228232279	1.05099018	1.139611229
Prkcd	chr14	autosomes	LSK+ and LSK-	87.49575323	102.5224462	52.00078986	62.02251893	1.17174197	1.192722632	1.182232301
Sfmbt1	chr14	autosomes	LSK+ and LSK-	4.581142858	4.754243542	4.55393522	5.684786207	1.03778548	1.248323907	1.143054694
Nisch	chr14	autosomes	LSK+ and LSK-	51.27622068	53.71994678	34.95431994	42.03810362	1.047658077	1.202658318	1.125158198
Capn7	chr14	autosomes	LSK+ and LSK-	25.94093028	27.68930858	24.65826302	26.63649707	1.067398443	1.08022601	1.073812226
Eaf1	chr14	autosomes	LSK+ and LSK-	15.2524431	17.72534282	9.867332802	16.37550301	1.162131384	1.659567315	1.41084935
Parg	chr14	autosomes	LSK+ and LSK-	22.79004362	23.18746288	16.25692892	19.73299063	1.017438284	1.213820318	1.115629301
Wdhd1	chr14	autosomes	LSK+ and LSK-	26.30283751	28.56856801	21.36172212	29.92301248	1.086140155	1.400777162	1.243458658
Zfp219	chr14	autosomes	LSK+ and LSK-	21.38266828	21.7310095	21.55945347	23.43850386	1.016290821	1.08715668	1.051723751
Cebpe	chr14	autosomes	LSK+ and LSK-	101.9511438	132.5719514	45.70779955	52.47846729	1.300347858	1.148129374	1.224238616
Ppp1r3e	chr14	autosomes	LSK+ and LSK-	1.385341571	1.481555525	1.421453074	1.431171881	1.06945143	1.006837234	1.038144332
Ap1g2	chr14	autosomes	LSK+ and LSK-	37.52795271	38.14978983	32.4071629	38.46011873	1.016569972	1.186778332	1.101674152
Rnf31	chr14	autosomes	LSK+ and LSK-	12.36089038	14.74020359	10.18052175	14.15595792	1.192487202	1.390494345	1.291490774
Irf9	chr14	autosomes	LSK+ and LSK-	16.81429607	33.40954263	19.95454651	42.32532491	1.986972424	2.121086785	2.054029604
Mcpt8	chr14	autosomes	LSK+ and LSK-	87.93140231	160.7766446	54.88104797	60.89232338	1.828432623	1.10953281	1.468982717
Pspc1	chr14	autosomes	LSK+ and LSK-	24.80536153	26.8248094	26.3696483	36.86249806	1.081411749	1.397913906	1.239662828
Kif13b	chr14	autosomes	LSK+ and LSK-	1.948817218	2.259388092	0.93028941	1.168194465	1.159363778	1.255732304	1.207548041
Ccdc25	chr14	autosomes	LSK+ and LSK-	18.08908554	19.76086151	16.24201941	18.67037714	1.092419043	1.149510825	1.120964934
Clu	chr14	autosomes	LSK+ and LSK-	6.321859231	7.946289774	2.1258271	2.999147667	1.256954558	1.410814486	1.333884522
Ccar2	chr14	autosomes	LSK+ and LSK-	55.15432165	59.99664015	48.80914493	57.27145643	1.087795813	1.173375533	1.130585673
Fndc3a	chr14	autosomes	LSK+ and LSK-	9.914265516	11.69553499	5.075430709	6.820742525	1.179667316	1.343874622	1.261770969
Gpalpp1	chr14	autosomes	LSK+ and LSK-	8.296040354	9.223346782	7.122523553	8.658841747	1.111776991	1.215698577	1.163737784
Nufip1	chr14	autosomes	LSK+ and LSK-	14.7174513	15.12762943	13.37463583	15.30462155	1.027870188	1.144301927	1.086086058
Vwa8	chr14	autosomes	LSK+ and LSK-	6.619697851	7.463405497	4.749166587	5.378140294	1.127454102	1.132438754	1.129946428
Dock9	chr14	autosomes	LSK+ and LSK-	3.515387378	4.474032378	1.081334514	1.620056187	1.272699676	1.498200757	1.385450216
Prkaa1	chr15	autosomes	LSK+ and LSK-	11.02059985	11.17658229	14.85923834	15.98867801	1.014153716	1.076009257	1.045081486
Nup155	chr15	autosomes	LSK+ and LSK-	12.92468065	15.09898392	13.16265547	13.84782699	1.168228781	1.052054202	1.110141491
Skp2	chr15	autosomes	LSK+ and LSK-	19.70971136	24.05633241	17.77788148	19.43227533	1.220531949	1.093059111	1.15679553
Tars	chr15	autosomes	LSK+ and LSK-	55.58031351	59.61783022	53.31974016	62.7869489	1.072642928	1.177555418	1.125099173
Drosha	chr15	autosomes	LSK+ and LSK-	17.74312068	20.1438735	13.40166234	20.43445692	1.135306121	1.524770316	1.330038218
Pop1	chr15	autosomes	LSK+ and LSK-	5.683746726	6.69501203	8.72855137	8.968616587	1.177922302	1.027503443	1.102712873
Utp23	chr15	autosomes	LSK+ and LSK-	7.715878554	7.985329695	8.456227749	9.197474161	1.034921641	1.087656865	1.061289253
Rad21	chr15	autosomes	LSK+ and LSK-	33.03806209	33.64285027	31.59037312	32.84433929	1.018305801	1.039694567	1.029000184
Taf2	chr15	autosomes	LSK+ and LSK-	16.27869064	18.54514064	17.8544504	18.29135791	1.139228028	1.02447051	1.081849269
Zhx1	chr15	autosomes	LSK+ and LSK-	23.25668265	25.45456419	19.61942739	22.11092794	1.094505376	1.126991502	1.110748439
D15Ertd621e	chr15	autosomes	LSK+ and LSK-	23.49262972	27.79470939	22.07045504	22.34958977	1.183124653	1.012647439	1.097886046
Asap1	chr15	autosomes	LSK+ and LSK-	31.19165605	31.92953656	18.48541474	28.7319387	1.023656343	1.554303169	1.288979756
Zfat	chr15	autosomes	LSK+ and LSK-	2.120018677	2.862329684	1.334530646	1.77514725	1.350143617	1.330165969	1.340154793
Ly6c2	chr15	autosomes	LSK+ and LSK-	448.14024	796.2641297	287.2613985	298.39337	1.776819082	1.038752062	1.407785572
Scrib	chr15	autosomes	LSK+ and LSK-	9.706548749	10.71677651	6.746246528	9.795542028	1.104076927	1.451998824	1.278037876
Gpaa1	chr15	autosomes	LSK+ and LSK-	107.0942985	117.1772292	96.95498233	112.8966756	1.094150024	1.164423663	1.129286843
Mroh1	chr15	autosomes	LSK+ and LSK-	6.998280698	7.927772937	4.981941629	5.390749035	1.132817227	1.082057847	1.107437537
Bop1	chr15	autosomes	LSK+ and LSK-	94.93831946	107.9733243	93.48356073	114.3584414	1.137299722	1.223300016	1.180299869
Cpsf1	chr15	autosomes	LSK+ and LSK-	56.77211395	65.49891661	52.99455307	58.93616782	1.153716359	1.112117461	1.13291691
Tonsl	chr15	autosomes	LSK+ and LSK-	16.01515078	16.249227	11.01007478	15.147138	1.014615924	1.375752509	1.195184216
Myh9	chr15	autosomes	LSK+ and LSK-	25.84975305	32.12265149	11.15506282	20.66710734	1.242667635	1.852710977	1.547689306
Csf2rb2	chr15	autosomes	LSK+ and LSK-	1.896151891	2.151959913	1.999812605	3.791296401	1.134909035	1.895825834	1.515367435
Csf2rb	chr15	autosomes	LSK+ and LSK-	16.257737	19.16804804	14.04108662	19.41141974	1.179010832	1.382472758	1.280741795
C1qtnf6	chr15	autosomes	LSK+ and LSK-	5.52886244	7.047254013	7.32403111	7.395731925	1.274630015	1.009789802	1.142209908
Nol12	chr15	autosomes	LSK+ and LSK-	26.00898641	29.39012789	27.24332855	31.83686067	1.129998972	1.168611266	1.149305119
Tab1	chr15	autosomes	LSK+ and LSK-	23.02091891	23.96998941	17.62502911	27.29944378	1.041226439	1.548902053	1.295064246
St13	chr15	autosomes	LSK+ and LSK-	100.8293177	114.1094986	100.3510465	109.3046562	1.131709519	1.089222883	1.110466201
L3mbtl2	chr15	autosomes	LSK+ and LSK-	30.31894068	37.36838415	28.40162483	34.43602389	1.232509557	1.212466684	1.222488121
Ttll12	chr15	autosomes	LSK+ and LSK-	23.63198678	25.10473329	40.46207273	47.52621394	1.062320046	1.174586736	1.118453391
Gramd4	chr15	autosomes	LSK+ and LSK-	17.39023216	18.51293031	14.22229807	30.84096457	1.064559124	2.168493757	1.61652644
Tubgcp6	chr15	autosomes	LSK+ and LSK-	6.540292529	7.402194078	4.149159614	5.140423503	1.131783333	1.238907148	1.18534524
Sbf1	chr15	autosomes	LSK+ and LSK-	18.98611007	19.1747438	11.97196854	16.90176782	1.009935354	1.411778503	1.210856929
Pphln1	chr15	autosomes	LSK+ and LSK-	22.48493247	23.94454361	25.30947381	26.55736906	1.064915078	1.04930546	1.057110269
Endou	chr15	autosomes	LSK+ and LSK-	1.002106686	1.364784543	0.503648333	1.057061787	1.361915415	2.098809266	1.73036234
Senp1	chr15	autosomes	LSK+ and LSK-	17.32537468	19.33127131	15.80752655	17.0463496	1.115777966	1.07836919	1.097073578
Larp4	chr15	autosomes	LSK+ and LSK-	12.020721	12.04318546	12.51691084	13.5231904	1.001868811	1.080393602	1.041131206
Soat2	chr15	autosomes	LSK+ and LSK-	2.207696851	2.381815894	3.968608727	6.69518101	1.078869091	1.687034795	1.382951943
Itgb7	chr15	autosomes	LSK+ and LSK-	14.08300055	14.82366878	18.36077221	18.70082186	1.05259307	1.018520444	1.035556757
Zfp385a	chr15	autosomes	LSK+ and LSK-	19.59530361	19.89247723	28.88774844	37.48105162	1.015165553	1.297472238	1.156318895
Slx4	chr16	autosomes	LSK+ and LSK-	5.387923361	5.967319088	1.68415728	4.342980711	1.107536	2.578726323	1.843131162
Glyr1	chr16	autosomes	LSK+ and LSK-	93.93496959	107.5170097	69.49269504	86.05990291	1.144589817	1.238402149	1.191495983
Usp7	chr16	autosomes	LSK+ and LSK-	29.96742057	32.19289231	27.28819544	32.69836315	1.07426304	1.198260369	1.136261705
Gspt1	chr16	autosomes	LSK+ and LSK-	41.45272906	46.26082256	47.03841272	50.2817379	1.115989794	1.068950566	1.09247018
Pdxdc1	chr16	autosomes	LSK+ and LSK-	20.90612277	24.71238978	18.50423453	21.08376904	1.182064702	1.139402389	1.160733545
Dnm1l	chr16	autosomes	LSK+ and LSK-	26.04750906	27.37745921	19.67616624	24.7440323	1.051058631	1.257563694	1.154311162
Top3b	chr16	autosomes	LSK+ and LSK-	59.19892754	66.67707496	41.28509813	55.85800395	1.126322346	1.352982225	1.239652286
Ppm1f	chr16	autosomes	LSK+ and LSK-	31.18134208	39.49172899	21.45835704	22.4068892	1.266517935	1.044203392	1.155360663
Smpd4	chr16	autosomes	LSK+ and LSK-	19.76699407	20.47190191	16.02152553	24.1699123	1.035660851	1.508589944	1.272125397
Med15	chr16	autosomes	LSK+ and LSK-	30.43233569	31.20774988	21.27562442	29.46879162	1.025479943	1.385096439	1.205288191
Cdc45	chr16	autosomes	LSK+ and LSK-	52.72895444	59.23789035	44.01474058	48.26948124	1.123441399	1.096666267	1.110053833
Yeats2	chr16	autosomes	LSK+ and LSK-	8.907688084	9.890419	3.889292261	6.21262814	1.110323903	1.597367265	1.353845584
Eif2b5	chr16	autosomes	LSK+ and LSK-	67.36719534	76.95496151	75.94275437	80.61954532	1.142320994	1.06158311	1.101952052
Tbccd1	chr16	autosomes	LSK+ and LSK-	18.45074496	21.02882305	19.53451089	22.34472199	1.139727588	1.14385879	1.141793189
Atp13a3	chr16	autosomes	LSK+ and LSK-	13.6351331	13.86423485	15.07339256	17.87590074	1.016802312	1.185924181	1.101363247
Acap2	chr16	autosomes	LSK+ and LSK-	8.687490913	8.834372767	5.070044867	5.347285374	1.016907281	1.054682062	1.035794672
Fbxo45	chr16	autosomes	LSK+ and LSK-	12.98595165	15.59480054	13.92066306	14.36716995	1.200897783	1.032075116	1.11648645
Pcyt1a	chr16	autosomes	LSK+ and LSK-	20.29235031	26.04626623	25.10635882	26.72485176	1.283550985	1.064465459	1.174008222
Lrch3	chr16	autosomes	LSK+ and LSK-	4.549022128	4.837411043	3.654316142	4.124904013	1.063395804	1.128775906	1.096085855
Heg1	chr16	autosomes	LSK+ and LSK-	5.555717202	5.723007392	7.580918514	8.397988057	1.030111358	1.107779755	1.068945557
Kpna1	chr16	autosomes	LSK+ and LSK-	21.6252707	24.10858883	24.453347	24.83353567	1.114834083	1.01554751	1.065190797
B4galt4	chr16	autosomes	LSK+ and LSK-	20.51946015	28.48332445	16.03732193	16.03943428	1.388112759	1.000131715	1.194122237
Dzip3	chr16	autosomes	LSK+ and LSK-	4.637504691	4.964711633	4.372346305	4.587585107	1.070556682	1.0492273	1.059891991
Tomm70a	chr16	autosomes	LSK+ and LSK-	61.5634576	68.58713727	67.59361533	78.92123566	1.114088453	1.167584176	1.140836315
Gabpa	chr16	autosomes	LSK+ and LSK-	16.79551026	17.67365873	16.04281133	17.5223296	1.052284715	1.09222313	1.072253923
App	chr16	autosomes	LSK+ and LSK-	35.19623876	48.41302374	13.06071056	20.04621505	1.375516971	1.534848733	1.455182852
Ltn1	chr16	autosomes	LSK+ and LSK-	14.0344131	15.03333899	12.36306285	12.50804012	1.071176891	1.011726646	1.041451769
Tiam1	chr16	autosomes	LSK+ and LSK-	4.300573997	4.684481804	1.684576834	2.728271131	1.089268969	1.619558738	1.354413853
Scaf4	chr16	autosomes	LSK+ and LSK-	26.21116985	28.40708542	18.55124557	30.01050942	1.083777854	1.617708596	1.350743225
Synj1	chr16	autosomes	LSK+ and LSK-	4.911566408	4.975008209	3.900180939	4.892430726	1.012916816	1.254411219	1.133664018
Prdm15	chr16	autosomes	LSK+ and LSK-	4.129168451	4.23094883	1.151161958	3.29034253	1.024649123	2.858279417	1.94146427
Snx9	chr17	autosomes	LSK+ and LSK-	34.96226729	37.93570774	28.10876351	32.30633988	1.085047129	1.149333369	1.117190249
Chd1	chr17	autosomes	LSK+ and LSK-	13.01639875	13.35710047	9.40902121	12.72423615	1.026174807	1.352344295	1.189259551
1600002H07Rik	chr17	autosomes	LSK+ and LSK-	11.98926942	12.05639438	7.702272494	12.29278525	1.005598753	1.595994592	1.300796673
Abca3	chr17	autosomes	LSK+ and LSK-	8.199539427	8.489945083	7.862243657	11.49839664	1.035417313	1.462482867	1.24895009
Tsc2	chr17	autosomes	LSK+ and LSK-	14.45252082	14.55939251	12.43765468	13.71799301	1.007394675	1.102940495	1.055167585
Zfp598	chr17	autosomes	LSK+ and LSK-	24.11182294	25.03907783	12.91838349	25.24669266	1.038456441	1.954322898	1.49638967
Ift140	chr17	autosomes	LSK+ and LSK-	11.31519824	11.8572997	10.00352744	10.81199567	1.047909144	1.080818315	1.06436373
Wdr90	chr17	autosomes	LSK+ and LSK-	13.139384	14.00794085	7.234254446	8.959495915	1.066103316	1.238482276	1.152292796
Axin1	chr17	autosomes	LSK+ and LSK-	36.36263752	42.78861891	32.16996186	37.95504983	1.176719342	1.179828872	1.178274107
Hmga1	chr17	autosomes	LSK+ and LSK-	3.155762313	4.017471337	3.113746454	3.115059926	1.273058912	1.00042183	1.136740371
Rab44	chr17	autosomes	LSK+ and LSK-	109.2310324	130.7997917	31.19276794	62.09650543	1.197459996	1.990734056	1.594097026
Pi16	chr17	autosomes	LSK+ and LSK-	9.494693822	11.85482337	6.549080693	6.948635235	1.248573528	1.061009256	1.154791392
Tbc1d22b	chr17	autosomes	LSK+ and LSK-	15.09574155	18.38778118	13.01937821	14.71257875	1.218077371	1.130052335	1.174064853
Ubash3a	chr17	autosomes	LSK+ and LSK-	29.17371939	30.70649679	26.45011769	31.29854364	1.052539663	1.183304513	1.117922088
Myo1f	chr17	autosomes	LSK+ and LSK-	61.19082204	77.65248148	31.19477231	31.70091762	1.269021708	1.016225325	1.142623516
Hnrnpm	chr17	autosomes	LSK+ and LSK-	259.6858108	300.6822709	272.5740577	276.8140954	1.157869465	1.015555544	1.086712505
Kifc1	chr17	autosomes	LSK+ and LSK-	2.812078656	3.05814512	2.01237842	2.866785268	1.087503408	1.424575636	1.256039522
Daxx	chr17	autosomes	LSK+ and LSK-	34.79287145	40.80318595	37.05508052	42.47871208	1.172745573	1.146366746	1.159556159
Zbtb22	chr17	autosomes	LSK+ and LSK-	17.62123391	20.66132279	21.92261221	22.13451302	1.172524178	1.009665856	1.091095017
Atf6b	chr17	autosomes	LSK+ and LSK-	80.72840521	98.30737118	71.0557691	77.31692504	1.217754407	1.088116081	1.152935244
Bag6	chr17	autosomes	LSK+ and LSK-	36.26614528	39.93635195	35.47701457	40.52831377	1.101202006	1.142382308	1.121792157
Cchcr1	chr17	autosomes	LSK+ and LSK-	9.109329058	9.59274961	5.603657761	10.05184913	1.053068733	1.793801399	1.423435066
Vars2	chr17	autosomes	LSK+ and LSK-	15.92772379	17.31018181	16.06058187	18.39223199	1.086795706	1.145178433	1.11598707
Dhx16	chr17	autosomes	LSK+ and LSK-	36.34575863	41.77577304	32.91828703	39.22467357	1.149398846	1.191576996	1.170487921
Ppp1r10	chr17	autosomes	LSK+ and LSK-	17.53108425	19.62132569	14.6864572	16.73154931	1.119230586	1.1392502	1.129240393
H2-T24	chr17	autosomes	LSK+ and LSK-	4.452535869	7.85255959	4.783678178	15.19797371	1.763615122	3.17704769	2.470331406
H2-T10	chr17	autosomes	LSK+ and LSK-	2.052464989	3.382032875	3.089611915	4.665406056	1.647790775	1.510029798	1.578910287
Aars2	chr17	autosomes	LSK+ and LSK-	17.20990955	17.98595424	15.26144854	20.3569071	1.045092898	1.33387778	1.189485339
Xpo5	chr17	autosomes	LSK+ and LSK-	28.06616392	34.44576779	26.1123804	29.93226685	1.227305872	1.146286412	1.186796142
Abcc10	chr17	autosomes	LSK+ and LSK-	2.423804641	2.627921443	1.759170804	2.390470521	1.084213389	1.358862093	1.221537741
Srf	chr17	autosomes	LSK+ and LSK-	23.11877805	24.90453841	15.73537092	16.88642047	1.077242853	1.073150455	1.075196654
Gltscr1l	chr17	autosomes	LSK+ and LSK-	5.080778327	5.230260487	4.141464784	4.800699235	1.029421114	1.159179055	1.094300085
Ubr2	chr17	autosomes	LSK+ and LSK-	12.59106813	12.86742501	7.551368553	9.936341987	1.021948644	1.315833271	1.168890958
Bysl	chr17	autosomes	LSK+ and LSK-	25.47687841	27.5489586	31.26386822	37.65217357	1.081331793	1.204335091	1.142833442
Sgol1	chr17	autosomes	LSK+ and LSK-	12.89734867	13.57078693	11.8752026	14.00167834	1.052215249	1.179068586	1.115641917
Chaf1a	chr17	autosomes	LSK+ and LSK-	61.52158403	71.56817922	39.57152618	59.57069165	1.163301959	1.505392826	1.334347393
Hdgfrp2	chr17	autosomes	LSK+ and LSK-	62.55931869	72.31732208	37.44980435	67.54707699	1.155980014	1.80366969	1.479824852
Dpp9	chr17	autosomes	LSK+ and LSK-	38.29771842	43.24182834	25.42504382	33.1922446	1.129096722	1.305494096	1.217295409
Ticam1	chr17	autosomes	LSK+ and LSK-	3.613474165	4.360917199	3.065084789	3.403157106	1.206848866	1.110297868	1.158573367
Ptprs	chr17	autosomes	LSK+ and LSK-	25.91886905	28.5652012	20.42409461	23.80871277	1.102100603	1.165716925	1.133908764
Safb	chr17	autosomes	LSK+ and LSK-	43.59156494	47.25625129	22.59527159	37.3259517	1.084068704	1.651936404	1.368002554
C3	chr17	autosomes	LSK+ and LSK-	16.6385562	25.9744225	3.68318711	6.147872503	1.561098342	1.669171921	1.615135131
Vav1	chr17	autosomes	LSK+ and LSK-	75.83636448	87.31522522	55.6665374	57.53411194	1.151363542	1.033549321	1.092456432
Man2a1	chr17	autosomes	LSK+ and LSK-	4.437273926	4.636443764	2.691869158	3.422109488	1.044885631	1.271276309	1.15808097
Smchd1	chr17	autosomes	LSK+ and LSK-	14.14696733	15.28325212	11.35671224	13.57004189	1.080320026	1.194891761	1.137605893
Wdr43	chr17	autosomes	LSK+ and LSK-	75.74129288	84.31716892	84.59581439	96.32694006	1.1132259	1.138672649	1.125949274
Lclat1	chr17	autosomes	LSK+ and LSK-	5.185585321	5.722246388	4.37186098	4.384431761	1.103490934	1.002875385	1.053183159
Nlrc4	chr17	autosomes	LSK+ and LSK-	2.870374882	2.908749761	1.409549608	1.787130263	1.013369292	1.267873265	1.140621278
Heatr5b	chr17	autosomes	LSK+ and LSK-	6.112802968	6.370129354	4.106045079	4.578133591	1.0420963	1.114974021	1.07853516
Rmdn2	chr17	autosomes	LSK+ and LSK-	3.178202129	4.019049201	3.294316102	4.221769711	1.264566896	1.281531456	1.273049176
Hnrnpll	chr17	autosomes	LSK+ and LSK-	55.0087397	61.55253718	55.8830248	58.19822933	1.118959233	1.041429478	1.080194355
Lrpprc	chr17	autosomes	LSK+ and LSK-	26.89507833	27.94571764	30.58088489	31.76383987	1.039064371	1.038682824	1.038873597
Ttc7	chr17	autosomes	LSK+ and LSK-	40.51494957	51.27660923	36.03401715	39.0500171	1.265621944	1.083698688	1.174660316
Svil	chr18	autosomes	LSK+ and LSK-	4.715406039	5.702482028	2.311975044	4.100300728	1.209330009	1.773505617	1.491417813
Mib1	chr18	autosomes	LSK+ and LSK-	7.386097322	8.295768129	4.598080278	5.822404566	1.123159873	1.266268576	1.194714225
Rbbp8	chr18	autosomes	LSK+ and LSK-	18.14574982	19.83413584	14.02622282	19.21155103	1.093045812	1.369688139	1.231366976
Ino80c	chr18	autosomes	LSK+ and LSK-	31.80016022	35.77751285	42.67265973	43.83543001	1.125073352	1.027248601	1.076160976
Pik3c3	chr18	autosomes	LSK+ and LSK-	17.51797712	19.744587	14.30834114	17.69577069	1.12710428	1.236745092	1.181924686
Cdc23	chr18	autosomes	LSK+ and LSK-	30.79286665	35.7300763	27.29324689	32.67682577	1.160336149	1.197249484	1.178792817
Nrg2	chr18	autosomes	LSK+ and LSK-	21.50038611	29.14074728	7.051090349	8.293408074	1.355359254	1.176188031	1.265773642
Lars	chr18	autosomes	LSK+ and LSK-	39.03433011	41.39904503	42.06447148	46.74707753	1.06058039	1.111319741	1.085950065
Eno1b	chr4	autosomes	LSK+ and LSK-	18.95041157	24.09776123	8.551288336	14.18567962	1.271622051	1.658893849	1.46525795
Hmgxb3	chr18	autosomes	LSK+ and LSK-	14.14280472	14.94951529	9.468807741	14.21840157	1.057040353	1.50160421	1.279322281
